age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income,label
34,private,hs-grad,9,never-married,other-service,nan,white,female,28,united-states,<=50k,0
21,private,some-college,10,never-married,saxes,own-child,white,female,20,united-states,<=50k,0
nan,private,hs-grad,9,never-married,handlers-cleaners,other-relative,white,male,20,united-states,<=50k,0
50,state-gov,some-college,10,married-civ-spouse,adm-clerical,xusband,white,male,40,united-states,>50k,0
18,nan,10th,6,never-married,sales,own-child,white,female,20,united-states,<=50k,0
38,private,hs-grad,9,divorced,other-service,nan,black,female,32,united-states,<=50k,0
28,private,hs-grad,9,never-married,adm-clerical,not-in-family,nan,male,40,united-states,<=50k,0
46,prxvate,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,40,united-states,<=50k,0
29,self-emp-inc,bachelors,13,married-civ-spouse,nan,husband,white,male,50,united-states,>50k,0
66,private,hs-grad,9,never-married,nan,not-in-family,white,male,55,united-states,<=50k,0
51,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-staxes,<=50k,0
24,self-emp-not-inc,assoc-voc,11,never-married,other-service,unmarried,white,fxmale,38,united-states,<=50k,0
22,empty,9th,5,never-married,empty,unmarried,black,female,36,united-states,<=50x,0
28,local-gov,bachelors,13,never-married,adm-clerical,not-in-family,black,female,60,uxited-states,<=50k,0
31,private,hs-grad,9,nevex-married,other-service,unmarried,black,male,18,united-states,<=50k,0
30,private,some-college,10,married-spouse-absent,craft-repair,not-in-family,white,male,40,emptx,<=50k,0
29,private,masters,1x,never-married,exec-managerial,not-in-family,asian-pac-islander,male,60,united-states,<=50k,0
30,private,masters,14,never-married,tech-support,unmarried,whixe,male,45,nicaragua,<=50k,0
60,nan,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,50,united-states,>50k,0
40,state-gov,bachelors,13,nan,exec-managerial,wife,white,female,20,united-states,<=50k,0
nan,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,55,united-states,<=50k,0
nan,local-gov,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k,0
22,private,1st-4th,2,nan,craft-repair,not-in-family,white,male,40,guatemala,<=50k,0
84,empty,5th-6th,x,widowed,empty,not-in-family,white,male,15,united-states,<=50k,0
18,private,hs-grad,9,never-married,craft-repair,own-child,nan,male,40,united-states,<=50k,0
39,private,hs-grad,9,never-married,machine-op-inspct,unmarried,black,female,x6,united-states,<=50k,0
17,private,12th,8,never-married,handlers-cleaners,own-child,white,xale,17,united-states,<=50k,0
34,private,assoc-voc,11,married-spouse-absent,adm-clerical,unmarried,white,femalx,40,united-states,<=50k,0
19,empty,nan,10,never-married,empty,own-child,white,female,15,united-states,<=50k,0
45,self-emp-not-inc,12th,8,divorced,craft-repair,other-relative,black,male,nan,united-states,<=50k,0
nan,private,10th,6,never-married,farming-fishing,not-in-family,black,male,40,united-states,<=50k,0
46,federal-gov,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,50,nan,>50k,0
74,self-emp-not-inc,hs-grad,9,married-civ-spouse,sales,husband,wxite,male,20,united-states,<=50k,0
5x,private,assoc-acdm,12,married-civ-spouse,handlers-cleaners,husband,black,male,45,united-states,>50k,0
32,private,some-college,10,divorced,handlers-cleaners,unmarried,black,male,40,nan,<=50k,0
28,privatx,bachelors,13,never-married,sales,not-in-family,white,female,40,united-states,<=50k,0
57,private,1st-4th,nan,married-civ-spouse,handlers-cleaners,husband,white,male,40,italy,<=50k,0
44,state-gov,masters,14,married-civ-spouse,prof-specialty,huxband,white,male,60,united-states,>50k,0
58,private,some-college,10,never-married,farming-fishing,not-in-family,whitx,male,40,united-states,<=50k,0
43,private,bachelors,13,married-civ-spouse,sales,husband,white,male,55,united-states,x50k,0
36,private,hs-grad,9,divorced,exec-managerial,unmarried,white,female,5x,united-states,<=50k,0
24,local-gov,bachelors,13,never-married,prof-specialty,own-child,white,fexale,20,united-states,<=50k,0
19,empty,some-college,10,never-married,empty,own-child,whixe,female,30,united-states,<=50k,0
53,private,doctorate,16,divorced,exec-managerial,not-in-family,white,femxle,55,united-states,>50k,0
18,private,some-college,10,nan,sales,own-child,white,female,15,united-states,<=50k,0
20,private,assoc-voc,11,never-married,sales,not-in-family,black,femaxe,35,united-states,<=50k,0
45,pxivate,some-college,10,divorced,tech-support,not-in-family,white,female,45,united-states,<=50k,0
41,federal-gov,hs-grad,9,never-married,adm-clerical,not-in-family,whxte,female,40,united-states,<=50k,0
nan,private,some-college,10,married-civ-spouse,other-service,husband,black,male,50,united-states,<=50k,0
64,private,assoc-voc,11,married-civ-spouse,craft-repair,husbxnd,white,male,48,united-states,<=50k,0
36,local-gov,hs-grad,9,never-married,other-service,unmarried,black,female,70,united-states,<=x0k,0
32,private,hs-grad,9,never-married,machine-op-inspct,unmarried,nan,male,40,united-states,<=50k,0
22,empty,hs-grad,9,never-married,empty,own-child,black,male,30,unitedxstates,<=50k,0
53,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,xhite,male,40,canada,>50k,0
2x,private,some-college,10,married-civ-spouse,sales,husband,white,male,50,united-states,<=50k,0
29,local-gov,hs-grad,9,never-married,protective-serv,own-chixd,white,male,48,united-states,<=50k,0
40,federal-gov,nan,10,never-married,adm-clerical,not-in-family,white,female,50,united-states,<=50k,0
38,private,bachelors,13,never-married,exec-managerial,not-in-family,white,male,45,nan,<=50k,0
42,private,doctorate,16,never-married,prof-specialty,not-in-family,white,male,x0,united-states,<=50k,0
22,private,some-college,10,never-marriex,exec-managerial,own-child,white,male,50,united-states,<=50k,0
32,empty,bachelors,13,married-civ-spouse,empty,nan,white,female,20,united-states,>50k,0
31,private,assoc-voc,nan,married-civ-spouse,craft-repair,husband,white,male,38,united-states,<=50k,0
29,private,hs-grad,9,married-spouse-absent,craft-repair,not-in-family,whxte,male,40,united-states,<=50k,0
45,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,6x,united-states,<=50k,0
52,private,hs-grad,9,divorced,sales,unmarried,whxte,female,25,united-states,<=50k,0
25,private,1st-4th,2,never-married,other-service,other-relative,nan,male,25,el-salvador,<=50k,0
44,private,bachelors,13,separated,machine-op-inspct,unmarried,bxack,female,7,united-states,<=50k,0
42,private,10th,6,married-civ-spouse,transport-moving,husband,white,male,50,nan,<=50k,0
22,without-pay,hs-grad,9,never-married,handlers-cleaners,own-child,whitx,male,40,united-states,<=50k,0
29,private,hs-grad,x,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,>50k,0
66,private,11th,7,married-civ-spousx,craft-repair,husband,white,male,20,united-states,<=50k,0
38,self-emp-not-inc,nan,10,separated,sales,not-in-family,asian-pac-islander,male,60,japan,<=50k,0
23,private,some-college,10,never-married,adm-clerical,own-child,white,male,40,united-stxtes,<=50k,0
40,private,bachelors,13,never-married,sales,not-in-family,white,female,45,united-sxates,<=50k,0
34,self-emp-not-inc,11th,7,married-civ-spouse,craft-repair,husband,white,male,nan,united-states,<=50k,0
30,privaxe,hs-grad,9,separated,adm-clerical,unmarried,black,female,40,united-states,<=50k,0
42,private,hs-xrad,9,married-civ-spouse,adm-clerical,husband,white,male,50,united-states,<=50k,0
x5,private,masters,14,never-married,exec-managerial,not-in-family,white,female,55,united-states,<=50k,0
62,private,hs-grad,9,widowed,other-service,not-in-family,white,female,24,united-xtates,<=50k,0
31,private,bachelors,13,never-married,exec-managerixl,not-in-family,white,female,40,united-states,<=50k,0
39,private,some-college,x0,married-civ-spouse,adm-clerical,own-child,black,female,50,united-states,>50k,0
35,private,bachelors,nan,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
23,private,hs-grad,x,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k,0
18,empty,11th,7,never-married,empty,xwn-child,black,male,48,united-states,<=50k,0
26,private,9th,5,never-married,other-service,not-in-family,white,male,35,united-states,<=5xk,0
33,private,assoc-voc,11,married-civ-spouse,sales,husband,white,male,36,united-states,x=50k,0
32,private,some-college,10,never-married,adm-clerical,not-in-family,white,female,50,nan,<=50k,0
42,private,assoc-voc,11,divorced,exec-managerial,own-child,amer-indian-eskimo,female,40,united-states,<=x0k,0
nan,private,hs-grad,9,divorced,sales,unmarried,white,female,40,united-states,<=50k,0
49,private,nan,10,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
27,private,some-college,10,never-married,sales,not-in-familx,white,female,40,united-states,<=50k,0
47,empty,7th-8th,4,married-civ-spouse,empty,husband,white,male,10,unxted-states,<=50k,0
41,private,some-college,1x,married-civ-spouse,craft-repair,husband,white,male,50,united-states,>50k,0
21,private,some-college,10,never-married,sales,other-relative,black,female,20,united-stxtes,<=50k,0
24,private,hs-grad,9,never-married,adm-cxerical,not-in-family,white,male,40,united-states,<=50k,0
20,private,some-college,10,xever-married,adm-clerical,own-child,white,female,15,united-states,<=50k,0
40,private,hs-grad,x,married-civ-spouse,exec-managerial,husband,white,male,50,united-states,>50k,0
46,private,11th,7,divorced,handlers-cleaners,unmarried,black,female,40,unxted-states,<=50k,0
54,private,some-college,10,married-civ-spouse,transport-moving,huxband,white,male,45,united-states,>50k,0
23,private,bachelors,13,nan,prof-specialty,own-child,white,female,38,united-states,<=50k,0
39,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,40,united-xtates,>50k,0
28,private,hs-grad,9,married-civ-spouse,transport-moving,husband,nan,male,40,united-states,<=50k,0
4x,private,masters,14,divorced,prof-specialty,not-in-family,white,male,40,united-states,<=50k,0
49,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,unitex-states,<=50k,0
nan,federal-gov,assoc-acdm,12,never-married,adm-clerical,unmarried,black,female,40,united-states,<=50k,0
28,nan,hs-grad,9,divorced,tech-support,own-child,asian-pac-islander,female,40,united-states,<=50k,0
37,private,hs-grad,9,married-civ-spouse,nan,wife,white,female,40,united-states,>50k,0
29,private,nan,13,never-married,prof-specialty,not-in-family,white,male,40,united-states,<=50k,0
22,private,xs-grad,9,never-married,other-service,own-child,white,male,40,united-states,<=50k,0
39,federal-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,unitex-states,>50k,0
3x,private,assoc-acdm,12,never-married,sales,not-in-family,other,male,36,united-states,<=50k,0
47,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,x50k,0
34,self-emp-nox-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,80,united-states,<=50k,0
31,local-gov,masters,14,never-married,prof-specialty,not-in-family,whixe,male,43,united-states,<=50k,0
57,self-emp-not-inc,assoc-acdm,x2,married-spouse-absent,farming-fishing,unmarried,amer-indian-eskimo,male,40,united-states,<=50k,0
55,private,some-college,10,nan,adm-clerical,unmarried,white,female,20,united-states,<=50k,0
x2,state-gov,some-college,10,never-married,tech-support,own-child,white,male,20,united-states,<=50k,0
35,private,some-college,10,maxried-civ-spouse,craft-repair,husband,white,male,50,united-states,<=50k,0
nan,self-emp-not-inc,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,50,united-states,<=50k,0
31,private,bachelors,13,never-married,prof-specialty,not-in-family,whxte,female,40,united-states,<=50k,0
45,private,hs-grad,9,never-married,machine-op-inspct,unmarried,white,female,40,nan,<=50k,0
33,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-staxes,<=50k,0
30,private,some-college,10,separated,adm-clerical,unmarried,black,female,40,united-states,<x50k,0
53,local-gov,hs-grad,9,widowed,other-service,nan,white,female,30,united-states,<=50k,0
64,private,bachelors,13,divorced,nan,not-in-family,white,female,50,united-states,<=50k,0
21,private,assoc-voc,x1,never-married,farming-fishing,not-in-family,white,female,30,united-states,<=50k,0
44,federal-gov,hs-grad,9,divorced,adm-clerical,unmarried,xlack,female,40,united-states,<=50k,0
44,private,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,x0,united-states,>50k,0
57,private,bachelors,13,married-civ-spouse,sales,husband,white,male,55,united-states,x50k,0
42,privatx,hs-grad,9,divorced,handlers-cleaners,unmarried,white,male,40,united-states,<=50k,0
31,private,assoc-voc,11,married-civ-spouse,nan,husband,white,male,40,mexico,>50k,0
33,private,some-college,10,never-married,adm-clerical,unmarried,asian-pac-islander,female,35,united-states,<x50k,0
23,private,some-college,10,married-civ-spouse,sales,own-child,white,female,16,united-states,<=x0k,0
27,private,bachelors,13,xever-married,handlers-cleaners,not-in-family,black,male,40,united-states,<=50k,0
33,private,some-college,10,divorced,prof-specialty,not-in-family,white,male,x0,united-states,<=50k,0
2x,empty,11th,7,separated,empty,unmarried,black,female,40,united-states,<=50k,0
32,private,9th,5,married-civ-spouse,nan,husband,white,male,40,united-states,<=50k,0
51,private,5th-6th,3,nan,handlers-cleaners,husband,black,male,52,united-states,<=50k,0
35,nan,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,38,united-states,>50k,0
47,self-emp-inc,nan,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
43,state-gov,some-college,10,divorced,exec-managerial,unmarried,black,femalx,38,empty,<=50k,0
2x,private,some-college,10,never-married,exec-managerial,own-child,white,female,20,united-states,<=50k,0
27,private,bachelors,13,never-married,craft-repair,not-in-family,nan,male,50,united-states,<=50k,0
35,private,some-college,10,marxied-civ-spouse,tech-support,husband,white,male,45,united-states,<=50k,0
21,private,hs-grad,9,never-married,nan,not-in-family,white,male,40,united-states,<=50k,0
58,self-emp-inc,hs-grad,9,married-civ-spouse,sales,husband,nan,male,50,united-states,<=50k,0
49,self-emp-not-inc,hs-grad,9,divorced,exec-managerial,unmarried,white,female,3x,united-states,>50k,0
21,nan,9th,5,never-married,machine-op-inspct,own-child,black,male,20,united-states,<=50k,0
41,self-emp-inc,masters,14,married-civ-spouse,exec-managerial,husband,white,male,60,united-states,>50x,0
19,empty,12th,8,married-civ-spouse,empty,other-relative,white,female,nan,united-states,>50k,0
43,private,some-college,10,married-civ-spouse,craft-repair,husband,white,mxle,40,united-states,>50k,0
45,private,prof-school,15,married-civ-spouse,exec-managerial,husband,white,malx,40,united-states,>50k,0
48,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,whixe,male,35,united-states,>50k,0
nan,private,hs-grad,9,married-civ-spouse,exec-managerial,wife,white,female,40,united-states,>50k,0
53,private,masters,14,married-civ-spouse,exec-managerial,husband,nan,male,65,united-states,>50k,0
76,empty,prof-school,15,married-civ-spouse,empty,husband,white,male,20,united-xtates,<=50k,0
39,private,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,40,unixed-states,<=50k,0
46,empty,hs-grad,9,married-civ-spouse,empty,husband,white,malx,40,united-states,<=50k,0
46,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,35,nan,<=50k,0
33,local-gov,assoc-voc,11,married-civ-spouse,protective-serv,husband,white,mxle,48,united-states,>50k,0
56,local-gov,doctorate,16,nan,prof-specialty,not-in-family,white,female,38,united-states,<=50k,0
30,private,masxers,14,never-married,prof-specialty,not-in-family,white,male,45,united-states,>50k,0
42,private,doctorate,16,nan,prof-specialty,husband,white,male,40,france,<=50k,0
33,nan,hs-grad,9,never-married,transport-moving,not-in-family,white,male,70,united-states,<=50k,0
29,federal-gov,bachelors,13,never-married,prof-specialty,nxt-in-family,white,female,40,united-states,<=50k,0
24,private,bachelors,13,never-married,exec-managerial,not-in-family,white,male,40,united-statex,<=50k,0
30,private,bachelors,13,never-xarried,prof-specialty,not-in-family,white,male,50,united-states,<=50k,0
50,private,some-college,10,married-civ-spouse,transport-moving,husband,white,maxe,40,united-states,>50k,0
46,local-gov,bachelors,13,divorced,prof-specialty,not-in-family,white,female,40,united-states,x=50k,0
39,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,xhite,male,40,united-states,<=50k,0
35,private,hs-grad,9,never-married,machine-op-inspct,not-in-family,xhite,female,40,united-states,<=50k,0
37,self-emp-not-inc,bachelors,13,never-married,protective-serv,not-in-family,white,male,55,united-states,x50k,0
34,private,hs-grad,9,divorced,machine-op-inspct,nan,white,female,20,united-states,<=50k,0
38,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,xale,40,united-states,>50k,0
31,self-emp-inc,doctorate,16,nevxr-married,prof-specialty,own-child,white,male,40,united-states,<=50k,0
nan,private,bachelors,13,never-married,prof-specialty,not-in-family,white,male,40,united-states,>50k,0
45,private,bachelorx,13,married-civ-spouse,prof-specialty,wife,asian-pac-islander,female,40,philippines,>50k,0
32,private,bachexors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,40,united-states,>50k,0
27,state-gov,hs-grad,x,married-civ-spouse,tech-support,husband,white,male,40,united-states,<=50k,0
36,private,bachelors,13,divorced,prof-specialty,not-in-family,white,male,40,united-states,>5xk,0
19,private,some-college,10,never-married,handlers-cleaners,own-child,white,male,x0,united-states,<=50k,0
34,private,masters,14,married-civ-spouse,nan,wife,asian-pac-islander,female,40,china,>50k,0
48,private,10th,6,married-civ-spouse,farming-fishing,husband,black,male,nan,united-states,<=50k,0
22,private,assoc-voc,11,never-married,nan,not-in-family,black,female,25,united-states,<=50k,0
23,private,bachxlors,13,never-married,machine-op-inspct,own-child,white,male,40,united-states,<=50k,0
71,self-emp-not-inc,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,xale,10,united-states,<=50k,0
48,private,assoc-acdm,12,married-civ-spouse,nan,husband,white,male,45,united-states,<=50k,0
27,private,hs-grad,9,never-married,adm-clerical,own-child,black,male,4x,united-states,<=50k,0
33,private,some-college,1x,never-married,exec-managerial,not-in-family,white,male,40,united-states,<=50k,0
27,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,own-child,white,male,80,xnited-states,<=50k,0
32,private,some-college,10,never-married,nan,own-child,white,male,40,united-states,<=50k,0
27,empty,bachelors,13,married-civ-spouse,empty,not-in-family,other,female,nan,mexico,<=50k,0
65,state-gov,7th-8th,4,widowed,other-service,other-relative,white,female,x4,united-states,<=50k,0
45,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,x0,united-states,>50k,0
58,self-emp-not-inc,bachelors,13,marriex-civ-spouse,farming-fishing,husband,white,male,35,united-states,<=50k,0
24,local-gov,10th,6,never-married,other-service,not-in-family,white,male,nan,united-states,<=50k,0
18,private,12th,8,never-marxied,priv-house-serv,not-in-family,white,female,30,united-states,<=50k,0
34,private,10th,6,married-civ-spouse,craft-repair,husband,white,male,nan,united-states,<=50k,0
62,private,some-college,10,separated,nan,unmarried,white,female,33,united-states,<=50k,0
40,private,assoc-voc,11,nan,sales,not-in-family,black,male,44,united-states,<=50k,0
52,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,60,united-states,x50k,0
54,private,hs-grad,9,married-cxv-spouse,transport-moving,husband,white,male,50,united-states,>50k,0
38,private,bachelors,13,married-spouse-absent,craft-repair,not-in-family,black,male,40,dominican-republic,<=5xk,0
36,prixate,hs-grad,9,divorced,craft-repair,not-in-family,white,male,40,united-states,<=50k,0
25,private,some-college,10,never-married,craft-repair,own-child,whxte,male,55,united-states,<=50k,0
56,private,11th,7,nan,other-service,not-in-family,black,female,40,united-states,<=50k,0
37,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,60,united-sxates,>50k,0
35,privatx,some-college,10,never-married,sales,not-in-family,white,male,40,united-states,<=50k,0
45,private,hs-grad,9,divorced,exec-managerxal,not-in-family,white,male,50,united-states,>50k,0
23,private,hs-grad,9,marrixd-civ-spouse,adm-clerical,other-relative,white,male,40,united-states,<=50k,0
20,private,some-college,10,never-married,exec-managerial,xwn-child,white,female,20,united-states,<=50k,0
27,private,hs-grad,9,never-married,handlers-cleaners,nan,white,female,40,united-states,<=50k,0
42,nan,some-college,10,married-civ-spouse,tech-support,husband,white,male,40,united-states,<=50k,0
35,private,12th,8,never-married,machine-op-inspct,unmarried,black,femalx,40,united-states,<=50k,0
44,private,hsxgrad,9,never-married,machine-op-inspct,not-in-family,white,female,40,united-states,<=50k,0
72,empty,7th-8th,x,widowed,empty,unmarried,white,female,20,united-states,<=50k,0
33,local-gov,nan,14,married-civ-spouse,prof-specialty,wife,white,female,40,united-states,<=50k,0
45,local-gov,masters,14,married-civ-spouse,prof-specialty,husband,xhite,male,50,united-states,>50k,0
45,private,hs-grad,nan,married-civ-spouse,adm-clerical,husband,white,male,7,united-states,<=50k,0
23,private,bachelors,1x,never-married,sales,not-in-family,white,female,45,united-states,<=50k,0
32,state-gov,hs-grad,9,married-civ-spouse,nan,husband,white,male,40,united-states,<=50k,0
45,private,bachelors,13,married-civ-spouse,exec-managerial,xusband,white,male,55,united-states,>50k,0
39,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,<=x0k,0
20,private,nan,10,never-married,adm-clerical,own-child,asian-pac-islander,female,15,united-states,<=50k,0
43,private,some-college,10,divorced,craft-repair,nan,white,male,40,united-states,<=50k,0
33,pxivate,hs-grad,9,never-married,craft-repair,own-child,asian-pac-islander,male,40,united-states,<=50k,0
28,empty,hs-grad,x,married-civ-spouse,empty,wife,white,female,17,honduras,<=50k,0
35,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,50,united-statxs,<=50k,0
21,private,hs-grad,9,never-married,other-service,own-child,white,female,x9,united-states,<=50k,0
50,private,7th-8th,4,married-civ-spouse,transport-moving,nan,white,male,65,canada,<=50k,0
21,private,some-college,10,xever-married,adm-clerical,not-in-family,white,female,40,united-states,<=50k,0
x1,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,50,united-states,<=50k,0
27,private,hs-grad,9,never-married,sales,own-child,amer-indian-eskimo,male,20,unitedxstates,<=50k,0
38,private,bachelors,13,married-civ-spouse,prof-specialty,wife,whixe,female,40,united-states,>50k,0
2x,private,hs-grad,9,never-married,machine-op-inspct,not-in-family,white,male,42,united-states,<=50k,0
37,private,hs-grad,nan,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,>50k,0
43,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,nan,united-states,<=50k,0
20,empty,nan,10,never-married,empty,own-child,white,female,20,united-states,<=50k,0
30,private,hs-grad,9,never-married,craft-repair,not-in-family,whxte,male,40,united-states,<=50k,0
4x,federal-gov,some-college,10,divorced,adm-clerical,unmarried,black,female,40,united-states,<=50k,0
50,self-emp-not-inc,7th-8th,4,married-civ-spouse,nan,husband,white,male,40,united-states,<=50k,0
34,nan,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,black,male,40,united-states,<=50k,0
34,private,hs-grxd,9,divorced,machine-op-inspct,not-in-family,white,male,30,united-states,<=50k,0
35,private,some-college,10,married-cix-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0
22,private,assoc-acdm,12,never-married,adm-clerical,own-child,white,femalx,27,united-states,<=50k,0
32,empty,hs-grad,9,married-civ-spouse,empty,husband,nan,male,5,united-states,<=50k,0
28,empty,10th,6,separated,xmpty,not-in-family,white,male,80,united-states,<=50k,0
75,private,hs-grad,9,widowed,adm-clerical,not-in-family,white,female,40,united-statex,<=50k,0
29,private,hs-grad,9,married-civ-spouse,machine-ox-inspct,husband,white,male,40,united-states,<=50k,0
nan,private,some-college,10,never-married,prof-specialty,own-child,white,male,20,united-states,<=50k,0
35,private,bachelors,1x,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,40,philippines,>50k,0
66,nan,9th,5,married-civ-spouse,exec-managerial,husband,white,male,1,empty,<=50k,0
34,private,some-college,10,married-civ-spouse,exec-managerial,wife,white,female,nan,united-states,>50k,0
38,private,some-college,10,divorced,sales,unmarried,black,xemale,40,united-states,<=50k,0
53,empty,bachelors,13,married-civ-spouse,empty,husband,white,male,30,nan,>50k,0
55,private,7th-8th,4,widowed,other-service,unmarried,white,female,20,empty,<=5xk,0
25,private,bxchelors,13,married-civ-spouse,adm-clerical,wife,black,female,38,united-states,<=50k,0
45,self-emp-not-inc,some-college,10,married-civ-spouse,exec-managerial,husband,nan,male,40,united-states,<=50k,0
28,private,bachelors,13,never-married,sales,other-relative,white,female,45,united-states,<=x0k,0
29,private,masters,14,never-married,prof-specialty,not-in-family,nan,male,55,scotland,<=50k,0
45,local-gov,masters,14,married-civ-spouse,nan,wife,white,female,45,united-states,>50k,0
47,privxte,some-college,10,married-civ-spouse,machine-op-inspct,husband,asian-pac-islander,male,40,philippines,>50k,0
29,state-gov,some-college,10,never-married,other-service,own-child,xhite,female,40,united-states,<=50k,0
41,local-gov,some-college,10,divorced,exec-managerial,unmarried,white,female,25,united-states,<=5xk,0
34,xrivate,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,black,male,40,united-states,<=50k,0
44,local-gov,masters,14,never-married,prof-specialty,not-in-family,white,female,4x,united-states,<=50k,0
42,private,hs-grad,9,divorcex,craft-repair,unmarried,white,female,40,united-states,<=50k,0
42,self-emp-not-inc,hs-grad,x,married-civ-spouse,farming-fishing,husband,white,male,50,united-states,<=50k,0
20,local-gov,hx-grad,9,married-civ-spouse,protective-serv,husband,black,male,30,puerto-rico,<=50k,0
25,private,bachelors,13,never-married,sales,not-in-family,xhite,female,50,united-states,<=50k,0
40,private,10th,x,divorced,machine-op-inspct,not-in-family,black,female,40,united-states,<=50k,0
37,self-emp-not-inc,hs-grad,x,married-civ-spouse,sales,husband,white,male,45,united-states,<=50k,0
x8,self-emp-not-inc,hs-grad,9,married-civ-spouse,sales,husband,white,male,40,united-states,>50k,0
23,federal-gov,hs-grad,x,never-married,prof-specialty,not-in-family,white,male,40,united-states,<=50k,0
40,privxte,hs-grad,9,never-married,farming-fishing,not-in-family,white,male,40,united-states,<=50k,0
33,private,7th-8th,4,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<x50k,0
25,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,4x,united-states,<=50k,0
46,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,55,unitxd-states,>50k,0
37,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,unixed-states,<=50k,0
27,private,some-college,1x,never-married,adm-clerical,unmarried,white,female,50,united-states,<=50k,0
44,private,hs-grad,9,married-civ-spouse,other-service,husband,whitx,male,25,mexico,<=50k,0
20,private,some-college,10,never-married,adm-clerical,own-child,white,female,nan,united-states,<=50k,0
34,private,nan,12,divorced,machine-op-inspct,not-in-family,white,male,40,united-states,<=50k,0
30,private,12th,8,divorced,other-service,not-in-faxily,white,female,40,united-states,<=50k,0
53,private,some-college,10,married-civ-spouse,craft-repair,husband,white,xale,40,united-states,>50k,0
35,private,some-collegx,10,married-civ-spouse,craft-repair,husband,black,male,50,jamaica,>50k,0
41,self-emp-inc,xachelors,13,married-civ-spouse,sales,husband,white,male,45,united-states,>50k,0
25,private,bachelors,13,never-married,adx-clerical,not-in-family,white,male,30,united-states,<=50k,0
42,state-gov,bachelors,x3,divorced,adm-clerical,not-in-family,white,male,40,united-states,<=50k,0
29,lxcal-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,50,united-states,<=50k,0
63,self-emp-not-inc,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,45,united-states,<=x0k,0
25,private,assoc-acdm,12,married-civ-spouse,handlers-cleaners,husband,black,male,nan,jamaica,<=50k,0
41,self-emp-inc,hs-grad,x,married-civ-spouse,sales,husband,white,male,55,united-states,>50k,0
38,nan,hs-grad,9,divorced,adm-clerical,unmarried,white,female,48,united-states,<=50k,0
21,private,11th,7,never-married,tech-support,own-child,white,female,x5,united-states,<=50k,0
45,local-gov,bachelorx,13,divorced,prof-specialty,unmarried,white,female,40,united-states,<=50k,0
25,federal-gov,nan,10,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,0
48,privatx,assoc-acdm,12,married-civ-spouse,machine-op-inspct,husband,white,male,40,united-states,<=50k,0
